2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BABROD, 42733, 2837510,  Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 50000, 50000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BABROD, 42733, 2837510,  Education, 0, 0, 0, 0, 0, 0, 25000, 25000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BABROD, 42733, 2837510,  Health, 0, 0, 0, 0, 0, 0, 50000, 50000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BABROD, 42733, 2837510, Total, 0, 0, 0, 0, 0, 0, 125000, 125000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BARAULI, 42734, 2858750,  Education, 0, 0, 0, 0, 0, 0, 50000, 50000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BARAULI, 42734, 2858750,  Sanitation, 0, 0, 0, 0, 0, 0, 100000, 100000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BARAULI, 42734, 2858750, Total, 0, 0, 0, 0, 0, 0, 150000, 150000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BARAULI, 42734, 2838470,  Drinking water, 0, 0, 0, 0, 0, 0, 160000, 160000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BARAULI, 42734, 2838470,  Education, 0, 0, 0, 0, 0, 0, 285000, 285000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BARAULI, 42734, 2838470,  Maintenance of community system, 0, 0, 0, 0, 0, 0, 150000, 150000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BARAULI, 42734, 2838470,  Roads, 0, 0, 0, 0, 0, 0, 695000, 695000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BARAULI, 42734, 2838470,  Sanitation, 0, 0, 0, 0, 0, 0, 60000, 60000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BARAULI, 42734, 2838470, Total, 0, 0, 0, 0, 0, 0, 1350000, 1350000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BASTAI, 42735, 2254396,  Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 222000, 222000
