2018, ARUNACHAL PRADESH, 12, NAMSAI, 274256, CHOWKHAM, 2779, CHONGKHAM HQ, 102617, 1893389, Total, 0, 0, 0, 0, 0, 0, 2018543, 2018543
2018, ARUNACHAL PRADESH, 12, NAMSAI, 274256, CHOWKHAM, 2779, CHONGKHAM-I, 102618, 1893332, Maintenance of community system, 0, 0, 0, 0, 0, 0, 326630, 326630
2018, ARUNACHAL PRADESH, 12, NAMSAI, 274256, CHOWKHAM, 2779, CHONGKHAM-I, 102618, 1893332, Roads, 0, 0, 0, 0, 0, 0, 281770, 281770
2018, ARUNACHAL PRADESH, 12, NAMSAI, 274256, CHOWKHAM, 2779, CHONGKHAM-I, 102618, 1893332, Total, 0, 0, 0, 0, 0, 0, 608400, 608400
2018, ARUNACHAL PRADESH, 12, NAMSAI, 274256, CHOWKHAM, 2779, MANKAO, 102626, 1893322, Social welfare, 0, 0, 0, 0, 0, 0, 453241, 453241
2018, ARUNACHAL PRADESH, 12, NAMSAI, 274256, CHOWKHAM, 2779, MANKAO, 102626, 1893322, Water Conservation, 0, 0, 0, 0, 0, 0, 468120, 468120
2018, ARUNACHAL PRADESH, 12, NAMSAI, 274256, CHOWKHAM, 2779, MANKAO, 102626, 1893322, Total, 0, 0, 0, 0, 0, 0, 921361, 921361
2018, ARUNACHAL PRADESH, 12, NAMSAI, 274256, CHOWKHAM, 2779, CHONGKHAM-III, 102616, 1893476, Family welfare, 0, 0, 0, 0, 0, 0, 1731934, 1731934
2018, ARUNACHAL PRADESH, 12, NAMSAI, 274256, CHOWKHAM, 2779, CHONGKHAM-III, 102616, 1893476, Total, 0, 0, 0, 0, 0, 0, 1731934, 1731934
2018, ARUNACHAL PRADESH, 12, NAMSAI, 274256, CHOWKHAM, 2779, CHONGKHAM-II, 102619, 1893408, Rural electrification, 0, 0, 0, 0, 0, 0, 534787, 534787
2018, ARUNACHAL PRADESH, 12, NAMSAI, 274256, CHOWKHAM, 2779, CHONGKHAM-II, 102619, 1893408, Social welfare, 0, 0, 0, 0, 0, 0, 541294, 541294
2018, ARUNACHAL PRADESH, 12, NAMSAI, 274256, CHOWKHAM, 2779, CHONGKHAM-II, 102619, 1893408, Total, 0, 0, 0, 0, 0, 0, 1076081, 1076081
2018, ARUNACHAL PRADESH, 12, TIRAP, 230, DADAM, 2828, CHINKOI, 103200, 1827705, Drinking water, 0, 0, 0, 0, 0, 0, 450000, 450000
2018, ARUNACHAL PRADESH, 12, TIRAP, 230, DADAM, 2828, CHINKOI, 103200, 1827705, Maintenance of community system, 0, 0, 0, 0, 0, 0, 450000, 450000
2018, ARUNACHAL PRADESH, 12, TIRAP, 230, DADAM, 2828, CHINKOI, 103200, 1827705, Total, 0, 0, 0, 0, 0, 0, 900000, 900000
2018, ARUNACHAL PRADESH, 12, TIRAP, 230, DEOMALI, 2829, NUTUN KHETI, 103211, 1943195, Education, 0, 0, 0, 0, 0, 0, 400360, 400360
2018, ARUNACHAL PRADESH, 12, TIRAP, 230, DEOMALI, 2829, NUTUN KHETI, 103211, 1943195, Rural electrification, 0, 0, 0, 0, 0, 0, 400360, 400360
2018, ARUNACHAL PRADESH, 12, TIRAP, 230, DEOMALI, 2829, NUTUN KHETI, 103211, 1943195, Total, 0, 0, 0, 0, 0, 0, 800720, 800720
2018, ARUNACHAL PRADESH, 12, TIRAP, 230, DEOMALI, 2829, SUBANG-MAKAT, 103212, 1943530, Drinking water, 0, 0, 0, 0, 0, 0, 825658, 825658
2018, ARUNACHAL PRADESH, 12, TIRAP, 230, DEOMALI, 2829, SUBANG-MAKAT, 103212, 1943530, Total, 0, 0, 0, 0, 0, 0, 825658, 825658
2018, ARUNACHAL PRADESH, 12, UPPER SUBANSIRI, 232, BARIRIJO, 2847, RONYA-TABARIJO, 103365, 1642470, Fisheries, 0, 0, 0, 0, 0, 0, 5000000, 5000000
2018, ARUNACHAL PRADESH, 12, UPPER SUBANSIRI, 232, BARIRIJO, 2847, RONYA-TABARIJO, 103365, 1642470, Total, 0, 0, 0, 0, 0, 0, 5000000, 5000000
2018, ARUNACHAL PRADESH, 12, UPPER SUBANSIRI, 232, GIBA, 2848, MENGA-VI, 262045, 2582462, Sanitation, 0, 0, 0, 0, 0, 0, 600000, 600000
